id,name,email,phone_number,date_of_birth,valid_email,email_correction_status,valid_phone,phone_correction_status,valid_dob,dob_correction_status
102,jovdmma,gjcynqmksul,6184449c,1985-87-81,invalid@example.com,non-correctable,00000000,non-correctable,1985-87-81,valid
105,bvfgffc,rqeldrucwbU,3535870I,1986-26-41,invalid@example.com,non-correctable,00000000,non-correctable,1986-26-41,valid
106,ekpzxym,towortwmqfN,9277193k,1979-31-75,invalid@example.com,non-correctable,00000000,non-correctable,1979-31-75,valid
108,dkotnve,nwqfsezixhE,5953942j,1991-36-70,invalid@example.com,non-correctable,00000000,non-correctable,1991-36-70,valid
109,vmekihd,eddohayjruY,9188896i,1992-72-33,invalid@example.com,non-correctable,00000000,non-correctable,1992-72-33,valid
110,bfdtjgb,urhapvgpkhk,6431163v,1995-84-98,invalid@example.com,non-correctable,00000000,non-correctable,1995-84-98,valid
117,evcrbor,cejqfnvquhw,0211970C,1975-70-35,invalid@example.com,non-correctable,00000000,non-correctable,1975-70-35,valid
119,iigbvky,edjolltxenl,3248318J,1979-96-96,invalid@example.com,non-correctable,00000000,non-correctable,1979-96-96,valid
120,zcjeezv,kplicbmuqxJ,9586331Z,1978-29-77,invalid@example.com,non-correctable,00000000,non-correctable,1978-29-77,valid
124,kfermvn,tyjrushpcyN,4231419T,1976-13-48,invalid@example.com,non-correctable,00000000,non-correctable,1976-13-48,valid
130,hslorys,hniichzyivp,9095658J,1989-90-78,invalid@example.com,non-correctable,00000000,non-correctable,1989-90-78,valid
131,dancbqc,cpsgwwlcfnY,1905422n,1999-96-46,invalid@example.com,non-correctable,00000000,non-correctable,1999-96-46,valid
133,gapjdpb,gpnemgrejou,1102856m,1982-50-77,invalid@example.com,non-correctable,00000000,non-correctable,1982-50-77,valid
134,xmnfyar,wbkpslauawB,5766443I,1986-50-82,invalid@example.com,non-correctable,00000000,non-correctable,1986-50-82,valid
138,hwvacut,valoanxugsU,3504358c,1987-22-61,invalid@example.com,non-correctable,00000000,non-correctable,1987-22-61,valid
142,wtzmxgi,xxiheisaszk,1796796H,1997-70-48,invalid@example.com,non-correctable,00000000,non-correctable,1997-70-48,valid
143,lddaexx,lidnrgujtnE,6563725i,1995-87-42,invalid@example.com,non-correctable,00000000,non-correctable,1995-87-42,valid
144,flmvjbd,gzpeoxitdji,3886755h,1989-64-57,invalid@example.com,non-correctable,00000000,non-correctable,1989-64-57,valid
146,johtiwy,ngxglsttdez,2726146L,1984-33-43,invalid@example.com,non-correctable,00000000,non-correctable,1984-33-43,valid
147,wvkjgsp,rviixavhxzN,4691004e,1976-51-91,invalid@example.com,non-correctable,00000000,non-correctable,1976-51-91,valid
150,yzeyptk,cmrtsdtzrxS,5919715m,1986-15-79,invalid@example.com,non-correctable,00000000,non-correctable,1986-15-79,valid
151,lizbacf,ukbxuteponD,7611972m,1993-18-97,invalid@example.com,non-correctable,00000000,non-correctable,1993-18-97,valid
152,gamaepo,ayvjapsbshD,8143546I,1978-41-44,invalid@example.com,non-correctable,00000000,non-correctable,1978-41-44,valid
153,reeywzu,hpjaqbdctnl,6926309M,1994-40-66,invalid@example.com,non-correctable,00000000,non-correctable,1994-40-66,valid
154,nvwtiws,pnfdgjaiaeG,2533131I,1976-25-45,invalid@example.com,non-correctable,00000000,non-correctable,1976-25-45,valid
155,dmvpwrh,dtdjwdqdfuQ,7313198y,1984-96-57,invalid@example.com,non-correctable,00000000,non-correctable,1984-96-57,valid
156,nbqvjta,cpkzvgdfero,6215830A,1978-47-78,invalid@example.com,non-correctable,00000000,non-correctable,1978-47-78,valid
157,qkhbhix,msrwbvhnizE,7999367L,1987-63-75,invalid@example.com,non-correctable,00000000,non-correctable,1987-63-75,valid
162,udeznkv,nxhrbsbhqqE,4147826g,1990-70-38,invalid@example.com,non-correctable,00000000,non-correctable,1990-70-38,valid
163,amolbpt,qpayswnvcfg,9744696G,1979-20-40,invalid@example.com,non-correctable,00000000,non-correctable,1979-20-40,valid
164,dstsjbh,gqwhfsflwld,4531227l,1982-80-65,invalid@example.com,non-correctable,00000000,non-correctable,1982-80-65,valid
167,xwetipz,owksqedzomj,2763889m,1987-51-69,invalid@example.com,non-correctable,00000000,non-correctable,1987-51-69,valid
170,qtubivr,eeytxpgcwuJ,4978292W,1970-27-32,invalid@example.com,non-correctable,00000000,non-correctable,1970-27-32,valid
174,aqfohac,ezbacfxsjfo,9600426M,1997-71-86,invalid@example.com,non-correctable,00000000,non-correctable,1997-71-86,valid
175,bglogyt,ydedlqmrmai,2261533a,1980-32-56,invalid@example.com,non-correctable,00000000,non-correctable,1980-32-56,valid
176,abxmgnv,rkasjzatwtQ,6851485C,1994-91-74,invalid@example.com,non-correctable,00000000,non-correctable,1994-91-74,valid
178,cxwwiyp,dvzdhbxrcvW,7081728j,1998-66-88,invalid@example.com,non-correctable,00000000,non-correctable,1998-66-88,valid
179,kbrvywm,vywrymrtnuk,7263578L,1974-85-72,invalid@example.com,non-correctable,00000000,non-correctable,1974-85-72,valid
180,mbmfnkp,juvjwtcvvmJ,1826950p,1977-58-76,invalid@example.com,non-correctable,00000000,non-correctable,1977-58-76,valid
182,elojkix,oncjwlnluvn,2833255J,1971-53-70,invalid@example.com,non-correctable,00000000,non-correctable,1971-53-70,valid
186,bnmwgph,vjlhoxyluws,7670679f,1975-29-66,invalid@example.com,non-correctable,00000000,non-correctable,1975-29-66,valid
187,oclounc,vhucsunlszU,4362643g,1999-65-44,invalid@example.com,non-correctable,00000000,non-correctable,1999-65-44,valid
188,fyxuklf,zrflqsjufkx,7756511o,1997-91-70,invalid@example.com,non-correctable,00000000,non-correctable,1997-91-70,valid
190,wtusspv,hcybniiyyjQ,9000045v,1972-72-71,invalid@example.com,non-correctable,00000000,non-correctable,1972-72-71,valid
191,bcswyin,hnrzbnsfred,4155372b,1989-73-65,invalid@example.com,non-correctable,00000000,non-correctable,1989-73-65,valid
194,havbnnk,eyhdmyjwkcv,0677704J,1986-96-44,invalid@example.com,non-correctable,00000000,non-correctable,1986-96-44,valid
196,opfpauk,kqqithcsboh,7272847z,1970-91-43,invalid@example.com,non-correctable,00000000,non-correctable,1970-91-43,valid
197,hfrawci,vnooeosctrV,2084051T,1970-25-69,invalid@example.com,non-correctable,00000000,non-correctable,1970-25-69,valid
198,fitchvg,jmcpitqbosJ,5831592D,1990-56-59,invalid@example.com,non-correctable,00000000,non-correctable,1990-56-59,valid
199,agbheft,hthtnhbewxA,2921287I,1981-95-73,invalid@example.com,non-correctable,00000000,non-correctable,1981-95-73,valid
201,fogeqab,uzkepdbjeoU,9789024p,1993-65-65,invalid@example.com,non-correctable,00000000,non-correctable,1993-65-65,valid
202,vhrmmwp,mdakzgzzorV,7462762V,1974-97-60,invalid@example.com,non-correctable,00000000,non-correctable,1974-97-60,valid
207,vpkvgxp,peiopsvymzB,9821257W,1970-72-86,invalid@example.com,non-correctable,00000000,non-correctable,1970-72-86,valid
208,cjsfcfm,zuduebdxrjK,6925282V,1970-62-52,invalid@example.com,non-correctable,00000000,non-correctable,1970-62-52,valid
214,jluwohj,nagibspebmy,5800375l,1989-94-54,invalid@example.com,non-correctable,00000000,non-correctable,1989-94-54,valid
215,ekpscbf,rzzcbxendzz,2033288M,1984-67-52,invalid@example.com,non-correctable,00000000,non-correctable,1984-67-52,valid
220,gasoqsa,cicpanjlltz,4815016j,1993-36-93,invalid@example.com,non-correctable,00000000,non-correctable,1993-36-93,valid
221,vrfcmvu,satfpzkcphD,4221630b,1990-52-75,invalid@example.com,non-correctable,00000000,non-correctable,1990-52-75,valid
224,wjtubzd,jstalgyzygk,6332367j,1978-30-83,invalid@example.com,non-correctable,00000000,non-correctable,1978-30-83,valid
226,oheqdoy,irzlixqnlyj,2949572p,1977-66-87,invalid@example.com,non-correctable,00000000,non-correctable,1977-66-87,valid
227,srcldcn,vunhrkiqioM,1407497z,1978-46-98,invalid@example.com,non-correctable,00000000,non-correctable,1978-46-98,valid
228,goivjkx,muchkhfjahf,3067030D,1970-31-59,invalid@example.com,non-correctable,00000000,non-correctable,1970-31-59,valid
231,ywwhvci,aysffojmegi,1483513A,1997-32-71,invalid@example.com,non-correctable,00000000,non-correctable,1997-32-71,valid
232,gnmqjyd,vrjxrvpqqyt,5073364J,1987-83-96,invalid@example.com,non-correctable,00000000,non-correctable,1987-83-96,valid
233,qtsipvh,sahjhugbwsS,9475599M,1988-20-95,invalid@example.com,non-correctable,00000000,non-correctable,1988-20-95,valid
234,mqfztjx,ayscdzfkuau,5816127s,1999-26-38,invalid@example.com,non-correctable,00000000,non-correctable,1999-26-38,valid
235,gbnkrws,ccikrcurhqy,6224365D,1998-95-89,invalid@example.com,non-correctable,00000000,non-correctable,1998-95-89,valid
236,unygqcl,rrlvcknuygb,1404101o,1978-45-89,invalid@example.com,non-correctable,00000000,non-correctable,1978-45-89,valid
238,yqxlghv,zmeccyvwmrx,1700773n,1972-90-72,invalid@example.com,non-correctable,00000000,non-correctable,1972-90-72,valid
241,xckspdj,fgatblhgeoP,6097564u,1981-46-83,invalid@example.com,non-correctable,00000000,non-correctable,1981-46-83,valid
242,bsunlgh,kewcaijucia,6803892Q,1994-58-81,invalid@example.com,non-correctable,00000000,non-correctable,1994-58-81,valid
243,xnvkoif,wfhgkxsogjj,4865275U,1981-87-36,invalid@example.com,non-correctable,00000000,non-correctable,1981-87-36,valid
244,dqndwdf,erkpcyozvjP,1224935o,1974-64-61,invalid@example.com,non-correctable,00000000,non-correctable,1974-64-61,valid
246,tqrajcr,wgmayfbitsH,9787620B,1970-76-83,invalid@example.com,non-correctable,00000000,non-correctable,1970-76-83,valid
248,uirghma,kiasoaqxbgV,1320048Q,1997-27-35,invalid@example.com,non-correctable,00000000,non-correctable,1997-27-35,valid
251,wnsvpwv,movevkaclro,6772615X,1973-28-36,invalid@example.com,non-correctable,00000000,non-correctable,1973-28-36,valid
254,xrlnhtt,qasewihayvm,4150079y,1970-40-38,invalid@example.com,non-correctable,00000000,non-correctable,1970-40-38,valid
256,yasqqau,mcmorszrtoB,6533453u,1980-35-94,invalid@example.com,non-correctable,00000000,non-correctable,1980-35-94,valid
257,bxipgcu,plvqtjfheuo,1877797E,1979-97-47,invalid@example.com,non-correctable,00000000,non-correctable,1979-97-47,valid
258,smwsfjv,ixaepggioiM,1098296B,1991-26-53,invalid@example.com,non-correctable,00000000,non-correctable,1991-26-53,valid
259,xgwynej,bogcoqwwgmp,3743113E,1990-13-42,invalid@example.com,non-correctable,00000000,non-correctable,1990-13-42,valid
262,wpmtabh,qfyqcwutgjm,4498366m,1974-15-79,invalid@example.com,non-correctable,00000000,non-correctable,1974-15-79,valid
263,ykqtyrh,ttngwykujxj,5953160p,1995-60-43,invalid@example.com,non-correctable,00000000,non-correctable,1995-60-43,valid
266,wthzngv,qioncqvlnzE,8633516w,1993-65-57,invalid@example.com,non-correctable,00000000,non-correctable,1993-65-57,valid
268,relewwr,rlljeglljwq,1817372c,1984-26-82,invalid@example.com,non-correctable,00000000,non-correctable,1984-26-82,valid
269,qoahmzb,xqerkhwqjdM,4295707M,1993-15-52,invalid@example.com,non-correctable,00000000,non-correctable,1993-15-52,valid
270,ltuufbo,ohdpkrywjrE,6906115B,1986-28-54,invalid@example.com,non-correctable,00000000,non-correctable,1986-28-54,valid
271,uosxvaj,jgjbpwrygof,0537533C,1975-43-77,invalid@example.com,non-correctable,00000000,non-correctable,1975-43-77,valid
278,zrofgae,qfilpshgidC,9061647n,1998-99-59,invalid@example.com,non-correctable,00000000,non-correctable,1998-99-59,valid
279,zibwkib,fzfwzmjecow,5801756o,1987-32-78,invalid@example.com,non-correctable,00000000,non-correctable,1987-32-78,valid
282,svaksaw,hjdychcsmhR,7695440i,1999-56-75,invalid@example.com,non-correctable,00000000,non-correctable,1999-56-75,valid
283,fpojfbx,hrdcnfoeqpt,9366800K,1995-51-42,invalid@example.com,non-correctable,00000000,non-correctable,1995-51-42,valid
284,vlowrty,rvtdcpumjcH,2583805q,1975-72-73,invalid@example.com,non-correctable,00000000,non-correctable,1975-72-73,valid
285,uqfcffz,xlbgbhoaman,8422395c,1986-63-60,invalid@example.com,non-correctable,00000000,non-correctable,1986-63-60,valid
290,pspplvp,wfvzbzxbsvq,7551398M,1975-71-92,invalid@example.com,non-correctable,00000000,non-correctable,1975-71-92,valid
291,olhealm,lubbrrrhtoe,0640387C,1984-13-67,invalid@example.com,non-correctable,00000000,non-correctable,1984-13-67,valid
294,xfxjoco,cuikqqqadeH,3188624F,1987-28-58,invalid@example.com,non-correctable,00000000,non-correctable,1987-28-58,valid
296,miptpfr,iiyatdcxsjn,5612687n,1979-13-70,invalid@example.com,non-correctable,00000000,non-correctable,1979-13-70,valid
299,bjuparc,ciybitelwpR,0054770D,1993-29-57,invalid@example.com,non-correctable,00000000,non-correctable,1993-29-57,valid
301,xcghwyv,syewztkqnfZ,1865245W,1996-81-96,invalid@example.com,non-correctable,00000000,non-correctable,1996-81-96,valid
302,ijklrtw,jwykavitueK,8948043l,1973-51-91,invalid@example.com,non-correctable,00000000,non-correctable,1973-51-91,valid
303,swgycoj,tvlubepfxhB,9252555E,1989-29-57,invalid@example.com,non-correctable,00000000,non-correctable,1989-29-57,valid
307,nosvhck,yobibidatvO,2654351o,1996-26-36,invalid@example.com,non-correctable,00000000,non-correctable,1996-26-36,valid
308,upvnqqd,utowuijiumK,2480837J,1996-61-49,invalid@example.com,non-correctable,00000000,non-correctable,1996-61-49,valid
309,qrlwgam,ttmeyqbskzg,8508544J,1991-92-48,invalid@example.com,non-correctable,00000000,non-correctable,1991-92-48,valid
311,ajocdam,kblqhvnbcpG,8244393N,1995-27-51,invalid@example.com,non-correctable,00000000,non-correctable,1995-27-51,valid
312,yyafvdv,rxfvxxmpbfm,9401325m,1982-86-50,invalid@example.com,non-correctable,00000000,non-correctable,1982-86-50,valid
315,bijkuoc,xlwhtrdvpgO,1949319H,1993-54-81,invalid@example.com,non-correctable,00000000,non-correctable,1993-54-81,valid
316,bkodmdz,aefmnmtmrnO,1251245a,1970-61-81,invalid@example.com,non-correctable,00000000,non-correctable,1970-61-81,valid
317,eaqzpmx,bvitcnmnofj,1940025P,1996-85-99,invalid@example.com,non-correctable,00000000,non-correctable,1996-85-99,valid
319,jozxult,zxdpkvewjrp,0821798a,1979-62-71,invalid@example.com,non-correctable,00000000,non-correctable,1979-62-71,valid
320,snpgelw,qwupsurxhjI,2278824q,1993-95-69,invalid@example.com,non-correctable,00000000,non-correctable,1993-95-69,valid
322,coawbtt,gmctnavebwL,3073861v,1992-72-61,invalid@example.com,non-correctable,00000000,non-correctable,1992-72-61,valid
325,tvbnfmn,ciemfhmxurI,8367213X,1970-98-32,invalid@example.com,non-correctable,00000000,non-correctable,1970-98-32,valid
328,lfbzsyx,zpbxfluozlQ,1155356O,1992-92-64,invalid@example.com,non-correctable,00000000,non-correctable,1992-92-64,valid
329,xnvncyx,rixipnwzmun,5210981t,1991-27-78,invalid@example.com,non-correctable,00000000,non-correctable,1991-27-78,valid
334,jjjqpbq,gcbhmskvjtM,8185570Z,1974-53-81,invalid@example.com,non-correctable,00000000,non-correctable,1974-53-81,valid
337,bpqliwl,gxlybtgnfll,9732524W,1988-57-50,invalid@example.com,non-correctable,00000000,non-correctable,1988-57-50,valid
339,scmecyk,ikcnkszvzbx,9001687R,1983-66-95,invalid@example.com,non-correctable,00000000,non-correctable,1983-66-95,valid
341,pcjntct,qfjvmccnzcy,4106150k,1973-34-82,invalid@example.com,non-correctable,00000000,non-correctable,1973-34-82,valid
342,bbarpgc,qptbralylhg,1797615t,1987-71-88,invalid@example.com,non-correctable,00000000,non-correctable,1987-71-88,valid
344,hbwnjhe,nilgsmzrpwN,6125910k,1980-75-86,invalid@example.com,non-correctable,00000000,non-correctable,1980-75-86,valid
346,dbsojxc,jcahmskzbec,5713160s,1992-51-47,invalid@example.com,non-correctable,00000000,non-correctable,1992-51-47,valid
348,bdhpjrl,szakkcbwrxs,7798996W,1979-79-40,invalid@example.com,non-correctable,00000000,non-correctable,1979-79-40,valid
349,vxldwoo,qipmygadktr,8666018u,1992-47-46,invalid@example.com,non-correctable,00000000,non-correctable,1992-47-46,valid
353,zftbbif,bhnteieuyyV,6357695F,1976-98-93,invalid@example.com,non-correctable,00000000,non-correctable,1976-98-93,valid
355,vtrqwsc,yfzbuojwlmz,3555968f,1981-54-69,invalid@example.com,non-correctable,00000000,non-correctable,1981-54-69,valid
356,nzsdzhh,rhauvgyhqjZ,7259623O,1989-78-78,invalid@example.com,non-correctable,00000000,non-correctable,1989-78-78,valid
357,ytyjkmt,rfcqwxtfkgi,3043882U,1997-73-66,invalid@example.com,non-correctable,00000000,non-correctable,1997-73-66,valid
358,tszguft,jpohnxpexjx,0087196E,1976-85-73,invalid@example.com,non-correctable,00000000,non-correctable,1976-85-73,valid
360,dfewjwf,moupvbtcyjG,3707162g,1970-23-63,invalid@example.com,non-correctable,00000000,non-correctable,1970-23-63,valid
361,nevwqka,hznueygdfsv,7884121Q,1979-39-55,invalid@example.com,non-correctable,00000000,non-correctable,1979-39-55,valid
366,hvihfch,qbdxtuogxoT,9957532Q,1984-93-37,invalid@example.com,non-correctable,00000000,non-correctable,1984-93-37,valid
368,arqojng,cdpfuhuvysj,4640807A,1974-77-76,invalid@example.com,non-correctable,00000000,non-correctable,1974-77-76,valid
371,vpqogsh,rrsvvzvvebm,5684756Y,1992-31-79,invalid@example.com,non-correctable,00000000,non-correctable,1992-31-79,valid
374,sedkfds,lbckvzivwbM,9663259J,1973-28-97,invalid@example.com,non-correctable,00000000,non-correctable,1973-28-97,valid
375,mhmalwz,uwedpjpggbH,2557835K,1979-83-79,invalid@example.com,non-correctable,00000000,non-correctable,1979-83-79,valid
378,kfkidsb,vanvhhfodlK,4555688l,1993-15-57,invalid@example.com,non-correctable,00000000,non-correctable,1993-15-57,valid
379,zelmown,exixtqltsmh,1392487e,1986-52-48,invalid@example.com,non-correctable,00000000,non-correctable,1986-52-48,valid
380,xihqhpv,humvrtjxioe,7481682g,1990-62-64,invalid@example.com,non-correctable,00000000,non-correctable,1990-62-64,valid
381,nflkbca,tcbzxkqozid,8877026P,1971-44-81,invalid@example.com,non-correctable,00000000,non-correctable,1971-44-81,valid
382,vqqfmry,vqypusamats,7037354O,1990-87-32,invalid@example.com,non-correctable,00000000,non-correctable,1990-87-32,valid
383,rgnhjha,lkqsxmjsoji,3255823N,1989-44-79,invalid@example.com,non-correctable,00000000,non-correctable,1989-44-79,valid
387,uvvzylb,wjjhdlmpimw,6596610A,1990-90-57,invalid@example.com,non-correctable,00000000,non-correctable,1990-90-57,valid
389,plsofnh,rwpnqjbcmwB,1059575n,1983-70-77,invalid@example.com,non-correctable,00000000,non-correctable,1983-70-77,valid
393,skindky,bjtqlbadpyM,4139425F,1973-57-40,invalid@example.com,non-correctable,00000000,non-correctable,1973-57-40,valid
395,qdiqtvz,mzyyhywhomQ,8112343s,1997-28-80,invalid@example.com,non-correctable,00000000,non-correctable,1997-28-80,valid
397,iwrljdh,fgrmwnqnqbH,1559425h,1972-89-47,invalid@example.com,non-correctable,00000000,non-correctable,1972-89-47,valid
401,ejhcjip,eybjngeutbu,0494846g,1970-51-65,invalid@example.com,non-correctable,00000000,non-correctable,1970-51-65,valid
405,guklgrl,rgsbvfzwsjU,9417087d,1981-17-58,invalid@example.com,non-correctable,00000000,non-correctable,1981-17-58,valid
407,pydmjnx,fryrgsykpxT,8269257r,1997-23-37,invalid@example.com,non-correctable,00000000,non-correctable,1997-23-37,valid
413,smtxtga,ujcmirffmrT,1186926r,1980-86-65,invalid@example.com,non-correctable,00000000,non-correctable,1980-86-65,valid
414,sgkzonl,goslxnocvzb,7006701i,1973-19-73,invalid@example.com,non-correctable,00000000,non-correctable,1973-19-73,valid
418,wwqrpkh,lvdquethvjr,3372662Z,1979-93-85,invalid@example.com,non-correctable,00000000,non-correctable,1979-93-85,valid
419,fzsejfk,rlruwnlhetc,8277757U,1972-75-67,invalid@example.com,non-correctable,00000000,non-correctable,1972-75-67,valid
421,zubirmg,jyfecixwbkS,9807707n,1997-24-52,invalid@example.com,non-correctable,00000000,non-correctable,1997-24-52,valid
425,thvilcy,eoeaybiyloE,7274736C,1994-77-71,invalid@example.com,non-correctable,00000000,non-correctable,1994-77-71,valid
426,hhmuprc,muiktfasfdl,0120420S,1973-55-95,invalid@example.com,non-correctable,00000000,non-correctable,1973-55-95,valid
427,cqghnqb,jlzufyrczav,8668702l,1992-35-80,invalid@example.com,non-correctable,00000000,non-correctable,1992-35-80,valid
429,wmhnyud,qebeyxbhgcY,2547570j,1999-89-40,invalid@example.com,non-correctable,00000000,non-correctable,1999-89-40,valid
431,dktvfna,catfhjsvfgJ,6073248C,1986-15-52,invalid@example.com,non-correctable,00000000,non-correctable,1986-15-52,valid
432,qwueadd,dxzdulzogas,3735316D,1980-44-86,invalid@example.com,non-correctable,00000000,non-correctable,1980-44-86,valid
436,ubxpdqw,hfqapazenqi,5321847w,1978-74-41,invalid@example.com,non-correctable,00000000,non-correctable,1978-74-41,valid
